origen,destino,nombre_calle,distancia,direccion,factor_trafico
956415284,479440922,13 Calle,13.57,norte-oeste,1.0
957679530,754617198,3a Calle,46.29,sur-este,1.0
957679530,12106124788,Avenida Hincapié,37.21,norte-este,1.0
957679530,528223064,Avenida Hincapié,120.16,sur-oeste,1.0
957679548,11658506367,Sin nombre,38.17,sur-este,1.0
957679548,528171280,Avenida Hincapié,158.37,norte-este,1.0
957679548,528178078,Avenida Hincapié,110.07,sur-oeste,1.0
990336857,481805124,14 Calle,216.48,sur-este,1.0
990336857,2026383064,7a Avenida,192.41,norte-este,1.0
990336926,631824855,6a Avenida A,139.76,sur-oeste,1.0
990336926,479441026,Calle Montúfar,67.75,sur-este,1.0
1507538281,3835760559,Avenida Reforma,34.91,norte-este,1.0
1507538281,1507538284,13 Calle,33.31,sur-oeste,1.0
1507538284,3835760571,Avenida Reforma,92.81,sur-oeste,1.0
1507538284,410451991,13 Calle,15.9,sur-oeste,1.0
1909301998,1909302002,4a Avenida A,141.46,sur-oeste,1.0
1909301998,412198093,11 Calle,31.53,norte-oeste,1.0
1909302002,412198062,Calle Montúfar,72.16,norte-oeste,1.0
1909302010,479440996,11 Calle,46.42,norte-oeste,1.0
1909302010,1909302012,6a Avenida A,141.68,sur-oeste,1.0
1909302012,11583042405,Calle Montúfar,67.6,sur-este,1.0
1963135143,3820122597,6a Avenida A,147.42,norte-este,1.0
1972994298,1972994302,0 Avenida A,136.64,sur-oeste,1.0
1972994298,7124905985,11 Calle,150.46,norte-oeste,1.0
1972994302,603170063,Calle Montúfar,50.45,norte-oeste,1.0
2026383064,479440924,13 Calle,11.96,norte-oeste,1.0
2026383064,11583042385,7a Avenida,76.73,norte-este,1.0
2026383067,5397068453,7a Avenida,76.35,norte-este,1.0
2054782996,410414411,Avenida Reforma,18.44,norte-oeste,1.0
2054782996,410414371,Plaza Obelisco,64.01,norte-oeste,1.0
2456948630,528223370,2a Calle,108.22,sur-este,1.0
2456948630,528223322,15 Avenida A,197.85,sur-oeste,1.0
2456948630,528223368,2a Calle,65.23,norte-oeste,1.0
3820014867,3820014868,Sin nombre,19.58,norte-este,1.0
3820014867,528223226,5a Calle,26.13,sur-este,1.0
3820014868,12096939658,5a Calle,75.08,norte-oeste,1.0
3820014869,410698241,Avenida Las Américas,55.69,sur-oeste,1.0
3820014887,429839894,Avenida Las Américas,18.5,norte-este,1.0
3820014887,4100532182,Sin nombre,91.61,norte-oeste,1.0
3820122586,6037880180,12 Calle,13.51,norte-este,1.0
3820122586,410407928,Avenida Reforma,11.47,sur-oeste,1.0
3820122587,1507538284,Avenida Reforma,117.21,sur-oeste,1.0
3820122589,410455571,Sin nombre,14.87,sur-este,1.0
3820122589,11583024563,Avenida Reforma,95.14,norte-este,1.0
3820122590,3820122589,Avenida Reforma,10.55,norte-este,1.0
3820122590,410455571,12 Calle,13.29,norte-este,1.0
3820122597,1963135143,6a Avenida A,147.42,sur-oeste,1.0
3820122597,12318905768,14 Calle,35.33,sur-este,1.0
3820122597,12636185688,14 Calle,37.92,norte-oeste,1.0
3834877532,3834877538,Sin nombre,80.77,sur-este,1.0
3834877533,3834877532,Avenida Las Américas,6.34,sur-oeste,1.0
3834877538,410699012,Avenida Las Américas,158.53,norte-este,1.0
3834877579,528148701,6a Calle,10.28,norte-oeste,1.0
3835760559,3835760560,Sin nombre,28.9,norte-este,1.0
3835760559,3820122590,Avenida Reforma,111.72,norte-este,1.0
3835760560,410455571,Avenida Reforma,89.78,norte-este,1.0
3835760570,3835760571,Sin nombre,30.89,sur-este,1.0
3835760570,4026532935,Avenida Reforma,45.58,sur-oeste,1.0
3835760571,481805137,Avenida Reforma,18.42,sur-oeste,1.0
4010444728,410407928,12 Calle,157.32,sur-este,1.0
4010444728,3820122586,12 Calle,161.97,sur-este,1.0
4010444728,516392104,"['7a Avenida', 'Plaza España']",183.21,norte-oeste,1.0
4010448614,11653915796,Boulevard Liberación,63.68,norte-oeste,1.0
4010448618,4010448614,13 Calle,40.26,sur-oeste,1.0
4010448618,11653915796,13 Calle,82.66,norte-oeste,1.0
4026495402,516392110,Avenida Reforma,46.98,sur-oeste,1.0
4026532935,4026532936,Sin nombre,28.14,sur-este,1.0
4026532935,481805124,Avenida Reforma,97.32,sur-oeste,1.0
4026532936,481805126,Avenida Reforma,54.98,sur-oeste,1.0
4029058302,4029076274,Avenida Reforma,43.98,norte-este,1.0
4029058302,516392128,15 Calle,34.07,norte-oeste,1.0
4029076273,410453350,Avenida Reforma,26.83,norte-este,1.0
4029076274,481805128,Avenida Reforma,98.65,norte-este,1.0
4029076274,4029076275,Sin nombre,32.0,norte-este,1.0
4029076275,410453351,Avenida Reforma,74.94,norte-este,1.0
4038754533,4038754534,Sin nombre,11.25,sur-este,1.0
4038754533,410450106,15 Avenida,71.54,sur-oeste,1.0
4038754534,4038754533,Sin nombre,11.25,norte-oeste,1.0
4038754534,528222059,15 Avenida,135.13,norte-este,1.0
4066825507,631825286,Sin nombre,92.82,norte-este,1.0
4066825507,11839402225,Sin nombre,83.45,norte-este,1.0
4066829230,282481420,Sin nombre,106.66,sur-oeste,1.0
4066829230,9482261012,Boulevard Liberación,38.42,norte-oeste,1.0
4066848948,4066848949,Plaza Obelisco,20.35,norte-este,1.0
4066848949,2054782996,Plaza Obelisco,104.39,norte-este,1.0
4066880398,479440915,Calle Montúfar,445.81,sur-este,1.0
4066895530,410408502,Diagonal 12,69.75,norte-oeste,1.0
4072279948,410417455,Boulevard Liberación,388.26,sur-este,1.0
