id,lat,lon,nombre,tipo,street_count,direccion
528214862,14.5861439,-90.5208962,Interseccion_134,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528215918,14.5862774,-90.5221382,Interseccion_135,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528216862,14.5858627,-90.521678,Interseccion_136,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528217379,14.5841539,-90.5214317,Interseccion_137,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528221928,14.5883447,-90.5218767,Interseccion_138,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528222043,14.5875322,-90.5205182,Interseccion_139,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528222059,14.5882967,-90.5217841,Interseccion_140,interseccion,4,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528222460,14.5889363,-90.5216177,Interseccion_141,interseccion,3,"8a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528222540,14.589466,-90.5214731,Interseccion_142,interseccion,3,"7a Calle A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528222646,14.5898069,-90.5213801,Interseccion_143,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223038,14.59057,-90.5212917,Interseccion_144,interseccion,4,"6a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223048,14.5905275,-90.5211778,Interseccion_145,interseccion,4,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223050,14.5900086,-90.519787,Interseccion_146,interseccion,3,"6a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223064,14.592765,-90.5218346,Interseccion_147,interseccion,3,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223218,14.5924124,-90.520781,Interseccion_148,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223220,14.5923719,-90.520664,Interseccion_149,interseccion,3,"5a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223222,14.5920801,-90.5199465,Interseccion_150,interseccion,4,"5a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223226,14.5914902,-90.519281,Interseccion_151,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223235,14.5926189,-90.520598,Interseccion_152,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223322,14.5922291,-90.5199924,Interseccion_153,interseccion,4,"15 Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223368,14.5940711,-90.5197253,Interseccion_154,interseccion,1,"2a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223370,14.5932066,-90.5184052,Interseccion_155,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528223778,14.5902703,-90.5204885,Interseccion_156,interseccion,3,"6a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170052,14.6030082,-90.5281122,Interseccion_157,interseccion,3,"6a Avenida, Pamplona, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170062,14.6029872,-90.5277265,Interseccion_158,interseccion,3,"Calle Montúfar, Pamplona, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170063,14.6029254,-90.5275028,Interseccion_159,interseccion,3,"Diagonal 12, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170069,14.6043383,-90.5288355,Interseccion_160,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170084,14.6038617,-90.5286963,Interseccion_161,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
603170113,14.6026909,-90.5273988,Interseccion_162,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
611744650,14.5892156,-90.52214,Interseccion_163,interseccion,1,"8a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
611873524,14.5870418,-90.5198004,Interseccion_164,interseccion,3,"9a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
616286902,14.6001558,-90.5200286,Interseccion_165,interseccion,3,"6a Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
631824855,14.6002052,-90.5203079,Interseccion_166,interseccion,3,"13 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
631824894,14.5858107,-90.521526,Interseccion_167,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
631825279,14.5947731,-90.5191921,Interseccion_168,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
631825286,14.5950973,-90.5185593,Interseccion_169,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
708248852,14.6032356,-90.5283702,Interseccion_170,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
726943232,14.5988519,-90.5224885,Interseccion_171,interseccion,4,"14 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
754617198,14.5936904,-90.5211145,Interseccion_172,interseccion,1,"3a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
790843467,14.6004119,-90.521455,Interseccion_173,interseccion,3,"5a Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
808125500,14.603672,-90.5246961,Interseccion_174,interseccion,4,"2a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
808125566,14.6024437,-90.5249366,Interseccion_175,interseccion,3,"2a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
956415284,14.6002851,-90.5207586,Interseccion_176,interseccion,4,"13 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
957679530,14.5938041,-90.5215282,Interseccion_177,interseccion,4,"3a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
957679548,14.588011,-90.5231566,Interseccion_178,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
990336857,14.5982719,-90.5193222,Interseccion_179,interseccion,4,"7a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
990336926,14.6014417,-90.5200749,Interseccion_180,interseccion,3,"6a Avenida A, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1507538281,14.5997897,-90.5165761,Interseccion_181,interseccion,4,"13 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1507538284,14.5997533,-90.5168805,Interseccion_182,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1909301998,14.6032526,-90.5223161,Interseccion_183,interseccion,3,"11 Calle, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1909302002,14.6020007,-90.5225497,Interseccion_184,interseccion,3,"4a Avenida A, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1909302010,14.6028086,-90.5198172,Interseccion_185,interseccion,3,"11 Calle, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1909302012,14.6015551,-90.5200535,Interseccion_186,interseccion,3,"Calle Montúfar, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1963135143,14.597214,-90.5209109,Interseccion_187,interseccion,1,"6a Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1972994298,14.6040476,-90.5268278,Interseccion_188,interseccion,3,"0 Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
1972994302,14.6028365,-90.527043,Interseccion_189,interseccion,3,"0 Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
2026383064,14.599978,-90.5190238,Interseccion_190,interseccion,4,"7a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
2026383067,14.5962263,-90.5197418,Interseccion_191,interseccion,3,"7a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
2054782996,14.5949548,-90.517327,Interseccion_192,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
2456948630,14.5938258,-90.5191811,Interseccion_193,interseccion,3,"2a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820014867,14.5917117,-90.5193561,Interseccion_194,interseccion,3,"5a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820014868,14.5918088,-90.5193154,Interseccion_195,interseccion,3,"5a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820014869,14.5914396,-90.5192972,Interseccion_196,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820014887,14.5888778,-90.51959,Interseccion_197,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820122586,14.6010068,-90.5167606,Interseccion_198,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820122587,14.600789,-90.5166777,Interseccion_199,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820122589,14.6011822,-90.5163247,Interseccion_200,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820122590,14.6010884,-90.5163396,Interseccion_201,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3820122597,14.5985202,-90.5206763,Interseccion_202,interseccion,3,"14 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3834877532,14.5834295,-90.5216413,Interseccion_203,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3834877533,14.5834847,-90.5216264,Interseccion_204,interseccion,3,"14 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3834877538,14.5833483,-90.5211565,Interseccion_205,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3834877579,14.589161,-90.5185107,Interseccion_206,interseccion,1,"6a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3835760559,14.6000986,-90.5165179,Interseccion_207,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3835760560,14.6003021,-90.5163509,Interseccion_208,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3835760570,14.5992027,-90.5171114,Interseccion_209,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
3835760571,14.5989333,-90.5170412,Interseccion_210,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4010444728,14.6011033,-90.5182183,Interseccion_211,interseccion,4,"Plaza España, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4010448614,14.6010614,-90.5260637,Interseccion_212,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4010448618,14.6011838,-90.5257657,Interseccion_213,interseccion,3,"13 Calle, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4026495402,14.6019579,-90.5164468,Interseccion_214,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4026532935,14.5987988,-90.5171834,Interseccion_215,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4026532936,14.5985535,-90.517119,Interseccion_216,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4029058302,14.5971056,-90.5170765,Interseccion_217,interseccion,4,"15 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4029076273,14.595554,-90.5172713,Interseccion_218,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4029076274,14.597495,-90.5170049,Interseccion_219,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4029076275,14.5977357,-90.5168419,Interseccion_220,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4038754533,14.587155,-90.5222126,Interseccion_221,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4038754534,14.5871239,-90.5221131,Interseccion_222,interseccion,3,"15 Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
4066825507,14.594632,-90.5185914,Interseccion_223,interseccion,3,"Boulevard Liberación, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
